RECORDING_SESSION_LABEL,INDEX,AVERAGE_BLINK_DURATION,AVERAGE_FIXATION_DURATION,SD_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,SD_SACCADE_AMPLITUDE,BLINK_COUNT,FIXATION_COUNT,PUPIL_SIZE_MEAN,SACCADE_COUNT,VISITED_INTEREST_AREA_COUNT,Session_Name_,Trial_Index_,Trial_Recycled_,type,book_name,book,page,total_page,RT,answer,correct_answer,page_name
msd001,1,74.50,190.07,73.5,5.16,5.68,4,112,1502.5,111,80,msd001,1,True,reading,dickens,1,1,5,25094.5384131,1,-99,reading-dickens-1
msd001,2,72.50,193.24,89.73,5.05,6.00,4,106,1591.15,106,70,msd001,2,True,reading,dickens,1,2,5,24160.4984131,1,-99,reading-dickens-2
msd001,3,86.25,178.08,64.81,4.99,6.18,4,110,1578.32,109,80,msd001,3,True,reading,dickens,1,3,5,23271.4344131,1,-99,reading-dickens-3
msd001,4,67.50,173.39,62.98,5.50,5.50,2,95,1695.24,94,64,msd001,4,True,reading,dickens,1,4,5,19794.7294131,1,-99,reading-dickens-4
msd001,5,70.60,173.05,74.12,6.24,6.60,5,87,1738.42,86,57,msd001,5,False,reading,dickens,1,5,5,18615.6514131,0,-99,reading-dickens-5
msd001,6,670.80,171.53,82.88,4.80,5.12,5,108,1985.33,107,,msd001,6,False,question,dickens,1,1,13,25368.4524131,1,1,question-dickens-1
msd001,7,123.40,183.26,71.64,4.61,4.08,5,102,2010.2,101,,msd001,7,False,question,dickens,1,2,13,22804.0344131,3,3,question-dickens-2
msd001,8,85.50,173.76,73.24,5.17,4.80,2,54,1876.86,53,,msd001,8,False,question,dickens,1,3,13,11418.1144131,3,1,question-dickens-3
msd001,9,94.50,181.87,58.68,4.84,4.02,2,85,1938.84,84,,msd001,9,False,question,dickens,1,4,13,18566.7724131,4,4,question-dickens-4
msd001,10,108.75,171.22,62.7,5.24,4.88,4,89,1958.72,88,,msd001,10,False,question,dickens,1,5,13,18738.9294131,2,3,question-dickens-5
msd001,11,,191.14,71.98,6.47,4.16,0,14,1721.42,14,,msd001,11,False,question,dickens,1,6,13,3116.76541306,2,-99,question-dickens-6
msd001,12,,179.56,70.24,7.13,4.99,0,18,1689.01,17,,msd001,12,False,question,dickens,1,7,13,3805.59041306,4,-99,question-dickens-7
msd001,13,52.00,165.79,43.84,3.86,1.96,1,14,1742.62,13,,msd001,13,False,question,dickens,1,8,13,2788.94941306,3,-99,question-dickens-8
msd001,14,89.00,196.78,120.45,6.04,3.53,1,9,1708.53,8,,msd001,14,False,question,dickens,1,9,13,2228.02041306,2,-99,question-dickens-9
msd001,15,81.00,191.46,78.39,5.76,3.52,1,13,1566.25,12,,msd001,15,False,question,dickens,1,10,13,3002.83741306,2,-99,question-dickens-10
msd001,16,72.00,131.5,68.17,4.73,2.80,1,14,1684.29,14,,msd001,16,False,question,dickens,1,11,13,2466.94741306,4,-99,question-dickens-11
msd001,17,113.00,228.15,205.39,4.58,2.33,2,13,1512.36,13,,msd001,17,False,question,dickens,1,12,13,3723.94741306,3,-99,question-dickens-12
msd001,18,169.00,176.76,96.91,3.56,2.22,12,42,1816.68,41,,msd001,18,False,question,dickens,1,13,13,11319.7994131,2,-99,question-dickens-13
msd001,19,97.00,202.28,138.45,5.03,5.75,4,122,1704.0,121,77,msd001,19,True,reading,flytrap,2,1,6,29015.1984131,1,-99,reading-flytrap-1
msd001,20,73.20,210.52,102.43,4.79,5.45,5,157,1727.44,156,76,msd001,20,True,reading,flytrap,2,2,6,38523.3694131,1,-99,reading-flytrap-2
msd001,21,83.67,195.08,74.36,4.94,5.65,3,89,1597.56,88,67,msd001,21,True,reading,flytrap,2,3,6,20497.3854131,1,-99,reading-flytrap-3
