,subj,book,acc_level,subj_acc_level,confidence,difficulty,familiarity,recognition,interest,pressured,sleepiness,sleephours,sex,native
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
2,msd001,genome,1,1,0,0,0,0,1,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
3,msd001,northpole,1,1,0,0,0,0,0,0,1,1,1,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
4,msd002,dickens,1,0,1,0,0,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
5,msd002,flytrap,0,0,1,0,1,0,1,0,0,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
8,msd003,dickens,1,1,0,0,0,0,0,1,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
10,msd003,genome,1,1,0,1,0,0,0,0,1,1,0,1
